,WB_ID,common_name,transcript,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change
0,WBGene00010424,lep-5,H36L18.2,4165.910761352229,0.995963158253088,8.962813375217259e-05,2753.57662303063,2988.3287711737203,2606.21238173598,6514.225657423621,4617.44145456975,5515.67968017969,no
1,WBGene00014836,,T09F5.12,735.609261584191,3.57461514176346,1.96343577108992e-17,115.983158056295,140.488823656384,85.3578283414199,674.452656450425,1409.69199280233,1987.6811101982998,up
2,WBGene00017941,,F31A9.2,2.67621865401441,-2.49819683345194,0.37654317849171604,3.41126935459692,1.38412634144221,9.095506298675891,0.0,0.0,2.1664099293714396,no
3,WBGene00189951,linc-29,Y73B6BL.269,54.2297454873081,-1.4753274283610702,0.00918633715860011,92.1042725741167,71.28250658427359,74.8630133814092,23.3042584545879,41.0771176710612,22.747304258400103,down
4,WBGene00194659,linc-1,W09C5.11,53.97593979735729,3.4645900742020297,7.51052758832003e-09,12.9628235474683,4.844442195047719,9.095506298675891,134.342195797036,80.2870936298015,82.32357731611471,up
5,WBGene00194800,linc-83,C39B10.9,2.33819572362635,1.60717308189439,0.6086749155535429,1.3645077418387699,2.0761895121633103,0.0,6.854193663114071,3.7342834246419305,0.0,no
6,WBGene00194814,linc-34,F02C12.8,20.0460054990972,-0.20853614233405102,0.89074067230674,13.645077418387698,22.838084633796395,27.286518896027697,4.11251619786844,44.811401095703204,7.58243475280004,no
7,WBGene00194923,linc-121,Y57G11C.1134,0.91389248841521,3.85004649989775,,0.0,0.0,0.0,5.48335493049126,0.0,0.0,no
8,WBGene00195060,linc-14,C18D4.11,9.63063668100466,1.3133537543258702,0.45790396014642604,10.233808063790699,6.22856853648993,0.0,16.4500647914738,20.5385588355306,4.332819858742879,no
9,WBGene00195170,linc-61,T10C6.18,22.261399779269098,1.11993925014993,0.257600777626113,14.327331289307,23.530147804517497,4.19792598400426,35.6418070481932,29.8742673971354,25.9969191524573,no
10,WBGene00195186,,F19G12.10,18.0493367488374,2.2078842438134,0.0179328674270042,10.233808063790699,4.844442195047719,4.19792598400426,43.866839443930104,22.405700547851602,22.747304258400103,no
11,WBGene00219306,linc-4,F13H8.15,82.02590271996951,0.158727517953656,0.794998445913405,79.8237028975678,88.5840858523012,63.6685440907312,102.812904946711,93.35708561604821,63.9090929164575,no
12,WBGene00219415,linc-38,Y22F5A.12,2.2357370945845,3.1447274482278997,0.37005709355619104,1.3645077418387699,0.0,0.0,10.9667098609825,0.0,1.0832049646857198,no
13,WBGene00219453,linc-97,T11B7.7,0.948195243414323,0.0761877428882818,,2.0467616127581496,0.6920631707211029,0.0,0.0,1.86714171232096,1.0832049646857198,no
14,WBGene00219497,linc-114,F36A4.20,0.5416024823428599,3.1311749870437002,,0.0,0.0,0.0,0.0,0.0,3.24961489405716,no
15,WBGene00219559,linc-5,C04C11.24,82.56163733769,0.158238600189785,0.8444421771979742,121.44118902365,60.209495852736,51.774420469385795,56.2043880375354,128.832778150147,76.9075524926861,no
16,WBGene00219560,linc-98,C14A6.17,1.2110357043073898,3.15522229517837,,0.0,0.0,0.6996543306673759,5.48335493049126,0.0,1.0832049646857198,no
17,WBGene00219561,linc-142,C16D6.4,27.513581206267098,0.8670387899571059,0.331349530158214,25.2433932240172,18.6857056094698,13.993086613347499,26.045935919833497,61.6156765065918,19.497689364343,no
18,WBGene00219562,linc-28,C25F9.18,48.1786432621133,6.70027673546476,4.2046507165383804e-12,2.7290154836775296,0.0,0.0,93.2170338183514,85.8885187667644,107.237291503886,no
19,WBGene00219563,linc-95,C32A3.8,2.86111190534106,5.49933345190395,0.0495038327230727,0.0,0.0,0.0,10.9667098609825,1.86714171232096,4.332819858742879,no
20,WBGene00219564,linc-102,C33G3.14,5.76997444528849,3.5231110749771406,0.0793911646182164,1.3645077418387699,0.0,1.39930866133475,23.3042584545879,7.468566849283861,1.0832049646857198,no
21,WBGene00219565,linc-120,C34C6.11,3.6311875097877206,5.84621225958971,0.0228161578206206,0.0,0.0,0.0,12.337548593605302,1.86714171232096,7.58243475280004,no
22,WBGene00219566,linc-33,C35C5.21,0.410852194378746,0.12771809245898902,,0.6822538709193828,0.0,0.6996543306673759,0.0,0.0,1.0832049646857198,no
23,WBGene00219567,linc-164,C44C11.8,2.5730371235221803,0.5835321794339301,0.8448962996434429,1.3645077418387699,4.844442195047719,0.0,4.11251619786844,1.86714171232096,3.24961489405716,no
24,WBGene00219569,linc-147,C46F11.10,11.282082277345099,1.30878752891418,0.38948028487330494,3.41126935459692,3.46031585360552,12.5937779520128,35.6418070481932,9.33570856160482,3.24961489405716,no
25,WBGene00219570,linc-82,C46F11.11,88.93394047185221,2.31669818860928,8.43713498214629e-09,31.383678062291605,24.914274145959702,32.8837535413667,131.60051833179,156.839903834961,155.981514914744,up
26,WBGene00219571,linc-15,C49F5.10,96.0658185635787,0.852362601051145,0.10341672760171801,97.5623035414718,59.51743268201489,48.276148816048895,149.421421855887,117.629927876221,103.98767660982901,no
27,WBGene00219572,linc-146,C51E3.13,0.31119028538682697,1.9847809081581298,,0.0,0.0,0.0,0.0,1.86714171232096,0.0,no
28,WBGene00219574,linc-54,D1025.12,2.33091590890021,-4.1726972038983305,0.285521674950104,0.0,0.6920631707211029,13.293432282680099,0.0,0.0,0.0,no
29,WBGene00219577,linc-119,F01G10.21,2.8466329624907702,1.98551780570526,0.5548448690158929,3.41126935459692,0.0,0.0,0.0,9.33570856160482,4.332819858742879,no
