"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00015153",1.36450774183877,3.46031585360552,4.89758031467163,238.52593947637,48.5456845203451,66.0755028458289
"WBGene00002061",3165.65796106594,4018.81083237745,3650.79629742237,1899.98248341522,2311.52143985335,2116.5825009959
"WBGene00255704",3.41126935459692,0.692063170721103,2.7986173226695,65.8002591658951,35.4756925340983,40.0785836933716
"WBGene00235314",4.0935232255163,0,9.79516062934326,0,0,0
"WBGene00001177",2499.77818304862,1803.5166228992,1970.22659515933,2124.80003556536,2053.85588355306,1725.54550874435
"WBGene00169236",2.04676161275815,0,0,0,0,0
"WBGene00219784",17.0563467729846,0.692063170721103,1.39930866133475,0,0,1.08320496468572
"WBGene00015152",2.04676161275815,8.30475804865324,4.19792598400426,2.74167746524563,3.73428342464193,5.4160248234286
"WBGene00021412",65.4963716082608,47.7523587797561,71.3647417280723,178.209035240966,54.147109657308,62.8258879517718
"WBGene00018976",94.1510341868749,70.5904434135525,69.2657787360702,405.768264856353,128.832778150147,146.232670232572
"WBGene00004496",7875.25643202244,8969.1386925455,8963.27163017975,12352.6278196642,11731.2513785126,12202.3039271846
"WBGene00018975",1846.86122857877,1809.74519143569,1892.56496445525,1573.72286505099,1611.34329773299,1647.55475128698
"WBGene00000480",1953.29283244219,1795.90392802126,1708.55587548973,2696.43978706908,2281.64717245622,2887.82443585213
"WBGene00020999",1670.83972988157,1549.52943924455,1761.02995028979,11066.781088464,8558.9776092793,9136.83387712405
"WBGene00021000",126.216966120086,188.933245606861,153.923952746823,89.104517620483,160.574187259603,79.0739624220575
"WBGene00021004",2064.50021340205,2182.76724045436,2066.77889279143,2848.60288639021,2380.60568320923,3037.30672097876
"WBGene00021001",41.6174861260824,49.8285482919194,65.067852752066,71.2836140963864,46.6785428080241,79.0739624220575
"WBGene00044512",27.2901548367753,26.2984004874019,13.9930866133475,0,5.60142513696289,1.08320496468572
"WBGene00021003",0,0,0,2.74167746524563,5.60142513696289,3.24961489405716
"WBGene00005302",0,0,0,0,11.2028502739258,0
"WBGene00021002",78.459195155729,27.6825268288441,21.6892842506887,20.5625809893422,39.2099759587403,58.4930680930289
"WBGene00006648",397.071752875081,393.783944140308,419.792598400426,316.66374723587,308.078382532959,296.798160323887
"WBGene00022435",34.1126935459692,46.3682324383139,20.2899755893539,43.8668394439301,20.5385588355306,42.2449936227431
"WBGene00022434",476.895455772649,486.520409016936,567.419662171242,268.684391594072,446.246869244711,386.704172392802
"WBGene00235163",30.0191703204529,11.7650739022588,9.09550629867589,10.9667098609825,20.5385588355306,33.5793539052573
"WBGene00201724",0.682253870919383,0,0,0,0,0
"WBGene00000838",2662.83685819835,2597.3130797163,2786.02354471749,2060.37061513209,1766.31605985563,2066.75507262035
"WBGene00044689",2225.51212693903,1965.45940484793,2121.35193058348,1383.17628121642,1310.73348204932,1302.01236755224
"WBGene00077643",84.5994799940035,89.9682121937434,79.7605936960808,91.8461950857286,123.231353013184,75.8243475280004
"WBGene00017080",764.806589300628,889.301174376618,837.486233808849,614.135752215021,642.296749038412,691.084767469489
"WBGene00017082",272.219294496834,254.679246825366,316.243757461654,94.5878725509742,78.4199519174805,57.4098631283432
"WBGene00005299",0,4.15237902432662,0,17.8209035240966,1.86714171232096,2.16640992937144
"WBGene00005301",0,0,0,2.74167746524563,0,1.08320496468572
"WBGene00017083",3.41126935459692,1.38412634144221,1.39930866133475,17.8209035240966,0,3.24961489405716
"WBGene00019814",0,4.84444219504772,4.19792598400426,10.9667098609825,3.73428342464193,2.16640992937144
"WBGene00019817",2.04676161275815,0,0,17.8209035240966,7.46856684928386,14.0816645409144
"WBGene00019818",4.77577709643568,10.3809475608165,17.4913582666844,19.1917422567194,28.0071256848145,46.577813481486
"WBGene00255728",2.04676161275815,0,15.3923952746823,68.5419366311407,44.8114010957032,42.2449936227431
"WBGene00019815",1.36450774183877,0,0,2.74167746524563,0,6.49922978811432
"WBGene00006419",0,0,0,32.9001295829476,42.9442593833822,34.662558869943
"WBGene00006172",0,0,1.39930866133475,0,0,0
"WBGene00019816",105.749349992504,67.8221907306681,79.0609393654135,94.5878725509742,74.6856684928386,61.742682987086
"WBGene00021981",103.702588379746,71.2825065842736,81.859556688083,130.229679599167,87.7556604790853,148.399080161944
"WBGene00044513",4.0935232255163,8.30475804865324,8.39585196800851,20.5625809893422,9.33570856160482,21.6640992937144
"WBGene00021983",175.339244826281,67.130127559947,141.33017479481,235.784262011124,156.839903834961,171.146384420344
"WBGene00018010",333.622142879578,471.987082431792,424.690178715097,198.771616230308,246.462706026367,223.140222725258
"WBGene00018011",692.487678983174,696.907612916151,734.637047200745,563.414719107977,610.555339928956,626.092469588346
"WBGene00018013",585.373821248831,730.818708281485,749.32978814476,297.472004979151,401.435468149007,467.944544744231
"WBGene00219932",5.45803096735506,1.38412634144221,6.99654330667376,0,0,3.24961489405716
"WBGene00003614",26.6079009658559,22.8380846337964,21.6892842506887,27.4167746524563,26.1399839724935,21.6640992937144
"WBGene00000022",2063.13570566021,1566.83101851258,1437.78964952146,468.826846557003,1043.73221718742,769.075524926861
"WBGene00020708",0,0,6.29688897600638,31.5292908503247,14.9371336985677,4.33281985874288
"WBGene00020707",200.582638050299,116.958675851866,181.21047164285,896.528531135321,384.631192738119,666.171053281718
"WBGene00020706",1322.89025571268,1339.14223534533,1141.13621331849,671.710978985179,853.283762530681,959.719598711548
"WBGene00020705",642.000892535139,701.752055111199,702.452947990045,483.906072615854,636.695323901449,600.095550435889
"WBGene00021450",1.36450774183877,0,2.7986173226695,24.6750971872107,9.33570856160482,0
"WBGene00021449",2.72901548367753,0,0,24.6750971872107,0,2.16640992937144
"WBGene00196358",0,0,0,0,0,1.08320496468572
"WBGene00021451",8.86930032195198,4.15237902432662,14.6927409440149,53.4627105722898,9.33570856160482,25.9969191524573
"WBGene00201032",0,0,0,2.74167746524563,0,0
