,WB_ID,common_name,transcript,baseMean,log2FoldChange,padj
30505,WBGene00219758,linc-11,Y49F6C.11,11.1472905973,-0.866790790275,0.49811495205630896
30508,WBGene00219761,linc-143,Y55D5A.11,10.662284089,-0.458555411141,0.834443396071896
30509,WBGene00219762,linc-159,Y55F3AM.22,1.04332219248,-0.79406556586,
30510,WBGene00219763,linc-94,Y55F3C.16,0.349827165334,-1.43542622666,
30513,WBGene00219767,linc-131,Y71G12B.40,4.73095816634,1.12535219752,0.666302372016501
30514,WBGene00219769,linc-64,Y75D11A.7,0.816263385779,-2.65864967611,
30515,WBGene00219770,linc-40,Y82E9BL.20,31.3697928275,-0.997170341134,0.166799168679169
30516,WBGene00219771,linc-24,Y82E9BR.31,17.2248343907,1.0452532639,0.358678154682992
30518,WBGene00219773,linc-32,ZK6.12,2.63772239599,1.18041797165,0.7549249029549581
31115,WBGene00236800,linc-171,C25A1.19,14.8473759935,0.45294391775,0.782055363648057
19130,WBGene00023069,rncs-1,F55A4.9,368.186938359,-1.15707619091,0.0545087102121444
4584,WBGene00006650,tts-1,F09E10.11,3320.46684198,3.79545190605,1.11720016849489e-12
