,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
442,WBGene00013320,srt-51,Y57G11C.27,Live,pseudogene,5.690085067,6.476058106,0.003094059,0,0,0,17.82090352,13.06999199,3.249614894,no_change,
645,WBGene00014948,,Y73F8A.4,Live,pseudogene,5.38929054,6.400676649,0.002900165,0,0,0,5.48335493,14.9371337,11.91525461,no_change,
549,WBGene00014763,,F46F2.t1,Live,pseudogene,5.33483397,6.395442849,0.002638697,0,0,0,13.70838733,7.468566849,10.83204965,no_change,
632,WBGene00014925,,Y57G11C.29,Live,pseudogene,5.376955707,6.395408119,0.017773004,0,0,0,19.19174226,13.06999199,0,no_change,
1437,WBGene00235366,,F49F1.16,Live,pseudogene,5.340112888,6.375543358,0.025851415,0,0,0,0,29.8742674,2.166409929,no_change,
1290,WBGene00077451,,Y69H2.16,Live,pseudogene,5.173277794,6.358756209,0.016154047,0,0,0,13.70838733,0,17.33127943,no_change,
463,WBGene00013661,,Y105C5B.23,Live,pseudogene,5.119521608,6.33650107,0.003930184,0,0,0,16.45006479,5.601425137,8.665639717,no_change,
1071,WBGene00023480,srz-68,C17F4.9,Live,pseudogene,5.061186888,6.317417263,0.015585058,0,0,0,27.41677465,1.867141712,1.083204965,no_change,
1450,WBGene00255730,,F48G7.15,Live,pseudogene,4.988865483,6.302433003,0.005174268,0,0,0,16.45006479,3.734283425,9.748844682,no_change,
601,WBGene00014872,,Y38E10A.t2,Live,pseudogene,4.843109524,6.257554035,0.004798068,0,0,0,13.70838733,5.601425137,9.748844682,no_change,
969,WBGene00023238,,C17H12.7,Live,pseudogene,4.832713766,6.250784261,0.017691126,0,0,0,26.04593592,1.867141712,1.083204965,no_change,
1012,WBGene00023308,,H11E01.t1,Live,pseudogene,525.6499165,6.22761937,7.33E-37,7.50479258,22.14602146,11.89412362,1629.927253,901.8294471,580.5978611,up,
1197,WBGene00045046,,Y64G10A.9,Live,pseudogene,4.549658532,6.154759242,0.006033531,0,0,0,9.595871128,11.20285027,6.499229788,no_change,
1191,WBGene00045022,,K04D7.7,Live,pseudogene,4.360667688,6.09783343,0.037180052,0,0,0,20.56258099,5.601425137,0,no_change,
985,WBGene00023262,,C54F6.2,Live,pseudogene,4.34098932,6.095579867,0.085203302,0,0,0,26.04593592,0,0,no_change,
1207,WBGene00045098,,VY10G11R.3,Live,pseudogene,4.34098932,6.095579867,0.085203302,0,0,0,26.04593592,0,0,no_change,
583,WBGene00014837,,T09F5.13,Live,pseudogene,4.303446117,6.090128532,0.009321907,0,0,0,12.33754859,3.734283425,9.748844682,no_change,
336,WBGene00010952,clec-188,M199.3,Live,pseudogene,4.301507042,6.08311819,0.008807182,0,0,0,13.70838733,5.601425137,6.499229788,no_change,
1078,WBGene00043055,,F19B2.10,Live,pseudogene,4.223368412,6.042030055,0.00950379,0,0,0,6.854193663,13.06999199,5.416024823,no_change,
457,WBGene00013625,srz-53,Y102A5C.23,Live,pseudogene,4.112516198,6.01762574,0.094835642,0,0,0,24.67509719,0,0,no_change,
1201,WBGene00045065,,Y40H7A.15,Live,pseudogene,4.049477402,5.992548603,0.048214363,0,0,0,20.56258099,3.734283425,0,no_change,
1359,WBGene00077754,,Y116A8C.199,Live,pseudogene,4.005416591,5.986340366,0.037957612,0,0,0,16.45006479,0,7.582434753,no_change,
131,WBGene00005817,srw-70,ZK1037.7,Live,pseudogene,3.966760239,5.964593139,0.057361258,0,0,0,21.93341972,1.867141712,0,no_change,
1440,WBGene00235376,,Y9C9A.112,Live,pseudogene,3.95359948,5.959590671,0.020157873,0,0,0,17.82090352,3.734283425,2.166409929,no_change,
565,WBGene00014794,,K02E2.5,Live,pseudogene,3.872821391,5.936290991,0.044012297,0,0,0,17.82090352,0,5.416024823,no_change,
1059,WBGene00023389,,Y69A2AR.t1,Live,pseudogene,14.3169312,5.930747038,9.38E-05,0,1.384126341,0,37.01264578,28.00712568,19.49768936,no_change,
695,WBGene00015761,,C14C6.7,Live,pseudogene,3.82100428,5.90851186,0.05511894,0,0,0,19.19174226,3.734283425,0,no_change,
1159,WBGene00044718,,T20D4.20,Live,pseudogene,7.493579363,5.905979979,0.00203406,0.682253871,0,0,20.56258099,7.468566849,16.24807447,no_change,
512,WBGene00014683,,C25F9.t2,Live,pseudogene,3.807843521,5.901994062,0.020108082,0,0,0,15.07922606,5.601425137,2.166409929,no_change,
1398,WBGene00202499,,B0507.15,Live,pseudogene,3.753261409,5.874121249,0.049193201,0,0,0,0,14.9371337,7.582434753,no_change,
1221,WBGene00045188,,B0284.5,Live,pseudogene,7.359045089,5.873802756,0.002295031,0.682253871,0,0,23.30425845,9.335708562,10.83204965,no_change,
335,WBGene00010932,,M162.6,Live,pseudogene,40.46470673,5.8393543,5.78E-11,0,0.692063171,3.498271653,71.2836141,91.4899439,75.82434753,no_change,
998,WBGene00023279,,F36A4.9,Live,pseudogene,3.501231769,5.764976997,0.031252904,0,0,0,6.854193663,13.06999199,1.083204965,no_change,
392,WBGene00012403,srz-45,Y6G8.1,Live,pseudogene,3.448714274,5.763292232,0.026484611,0,0,0,13.70838733,3.734283425,3.249614894,no_change,
518,WBGene00014694,,C33D3.2,Live,pseudogene,3.423093139,5.734707428,0.135401495,0,0,0,0,20.53855884,0,no_change,
688,WBGene00015594,btb-15,C08E3.2,Live,pseudogene,3.283279948,5.697027074,0.071186219,0,0,0,16.45006479,0,3.249614894,no_change,
265,WBGene00008941,srz-33,F19B2.1,Live,pseudogene,3.281340873,5.69059526,0.085372468,0,0,0,17.82090352,1.867141712,0,no_change,
867,WBGene00020641,fbxa-68,T20H9.5,Live,pseudogene,3.289797556,5.689433353,0.024200702,0,0,0,6.854193663,7.468566849,5.416024823,no_change,
201,WBGene00007161,,B0391.3,Live,pseudogene,3.198623709,5.655279207,0.145651849,0,0,0,19.19174226,0,0,no_change,
903,WBGene00021622,hpo-37,Y47D7A.10,Live,pseudogene,3.198623709,5.655279207,0.145651849,0,0,0,19.19174226,0,0,no_change,
655,WBGene00014963,,Y105C5A.21,Live,pseudogene,3.172302191,5.64408839,0.031570242,0,0,0,10.96670986,3.734283425,4.332819859,no_change,
951,WBGene00022840,,ZK994.1,Live,pseudogene,3.124363229,5.623760126,0.031600012,0,0,0,9.595871128,3.734283425,5.416024823,no_change,
21,WBGene00003556,nas-40,F54B8.13,Live,pseudogene,3.102745787,5.614534978,0.085163916,0,0,0,16.45006479,0,2.166409929,no_change,
639,WBGene00014939,,Y66A7A.t1,Live,pseudogene,3.076424268,5.603149043,0.032425502,0,0,0,8.225032396,3.734283425,6.499229788,no_change,
493,WBGene00014615,,Y116F11A.4,Live,pseudogene,3.087645953,5.600467658,0.04801544,0,0,0,13.70838733,3.734283425,1.083204965,no_change,
516,WBGene00014691,,C33A11.t1,Live,pseudogene,106.8340368,5.577047694,6.60E-22,2.046761613,3.460315854,7.696197637,285.1344564,153.1056204,189.5608688,up,
84,WBGene00005467,srh-261,K03D7.4,Live,pseudogene,2.970150587,5.548427011,0.16275119,0,0,0,17.82090352,0,0,no_change,
168,WBGene00006017,srx-126,T08G3.9,Live,pseudogene,2.970150587,5.548427011,0.16275119,0,0,0,17.82090352,0,0,no_change,
140,WBGene00005875,srw-128,H27D07.1,Live,pseudogene,2.874272665,5.504500994,0.099439961,0,0,0,15.07922606,0,2.166409929,no_change,
707,WBGene00016080,,C24H12.11,Live,pseudogene,2.900468641,5.497481706,0.094928502,0,0,0,0,13.06999199,4.332819859,no_change,
1091,WBGene00044051,,Y57A10A.37,Live,pseudogene,2.815112019,5.482220463,0.090701443,0,0,0,8.225032396,0,8.665639717,no_change,
384,WBGene00012133,,T28F3.7,Live,pseudogene,2.813172944,5.476826302,0.050037086,0,0,0,9.595871128,1.867141712,5.416024823,no_change,
1428,WBGene00235278,,ZK185.10,Live,pseudogene,2.824394629,5.473882456,0.113653087,0,0,0,15.07922606,1.867141712,0,no_change,
80,WBGene00005445,srh-238,T23F1.1,Live,pseudogene,2.830912237,5.461031223,0.047972588,0,0,0,5.48335493,9.335708562,2.166409929,no_change,
1129,WBGene00044343,clec-77,Y46C8AR.3,Live,pseudogene,2.778394742,5.458392565,0.097717821,0,0,0,12.33754859,0,4.332819859,no_change,
266,WBGene00008942,srz-34,F19B2.2,Live,pseudogene,2.800712568,5.443977025,0.183263789,0,0,0,0,16.80427541,0,no_change,
64,WBGene00005343,srh-126,F18E3.3,Live,pseudogene,2.781034201,5.434607152,0.104545321,0,0,0,5.48335493,11.20285027,0,no_change,
1032,WBGene00023340,,T05B11.5,Live,pseudogene,2.769812516,5.434439263,0.101602267,0,0,0,0,11.20285027,5.416024823,no_change,
333,WBGene00010927,clec-259,M162.1,Live,pseudogene,2.715355947,5.419382766,0.049280204,0,0,0,8.225032396,3.734283425,4.332819859,no_change,
1246,WBGene00045366,,Y17D7C.3,Live,pseudogene,1374.557211,5.406979125,7.54E-52,69.58989483,62.28568536,58.07130945,1703.952545,2315.255723,4038.188108,up,
630,WBGene00014922,,Y57G11B.4,Live,pseudogene,2.717995405,5.396036061,0.126498647,0,0,0,1.370838733,14.9371337,0,no_change,
94,WBGene00005553,sri-41,F22E5.10,Live,pseudogene,2.67863867,5.393876572,0.115868972,0,0,0,12.33754859,3.734283425,0,no_change,
984,WBGene00023260,,C52E12.t1,Live,pseudogene,19.83533985,5.391514851,5.36E-05,0,2.768252683,0,67.1710979,31.74140911,17.33127943,no_change,
470,WBGene00013783,,Y116A8C.1,Live,pseudogene,2.632638783,5.379630082,0.061069679,0,0,0,9.595871128,1.867141712,4.332819859,no_change,
1007,WBGene00023297,,F56D12.t2,Live,pseudogene,2.597860581,5.360534663,0.114877694,0,0,0,12.33754859,0,3.249614894,no_change,
