,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,change,cat
849,WBGene00020271,,T05H4.8,Live,pseudogene,2.343932779,3.161273517,0.278772511,0,0,1.399308661,4.112516198,7.468566849,1.083204965,no_change,
1449,WBGene00255728,,R02C2.8,Live,pseudogene,28.83958137,3.159580846,0.008920074,2.046761613,0,15.39239527,68.54193663,44.8114011,42.24499362,no_change,
133,WBGene00005827,srw-80,T04H1.10,Live,pseudogene,1.211035704,3.155222295,,0,0,0.699654331,5.48335493,0,1.083204965,no_change,
584,WBGene00014838,cyp-13A9,T10B9.6,Live,pseudogene,4.523991684,3.149771053,0.251240857,2.729015484,0,0,15.07922606,9.335708562,0,no_change,
68,WBGene00005376,srh-160,F20E11.3,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
129,WBGene00005799,srw-52,T05G11.8,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
155,WBGene00005963,srx-72,F38B7.9,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
274,WBGene00009076,,F23B2.8,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
511,WBGene00014682,,C25F9.t1,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
589,WBGene00014844,,T23D5.5,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
648,WBGene00014952,,Y80D3A.t1,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
976,WBGene00023247,,C33E10.7,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1026,WBGene00023328,,R04B3.t1,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1049,WBGene00023373,,Y53G8B.t1,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1102,WBGene00044119,srh-191,C07G3.11,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1216,WBGene00045174,,Y64G10A.12,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1274,WBGene00050964,,Y50E8A.18,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
1362,WBGene00077767,,F22D6.17,Live,pseudogene,0.541602482,3.131174987,,0,0,0,0,0,3.249614894,no_change,
543,WBGene00014753,,F40D4.14,Live,pseudogene,3.35289945,3.129473387,0.289585273,0,2.076189512,0,13.70838733,0,4.332819859,no_change,
863,WBGene00020615,,T20D4.9,Live,pseudogene,31.24929152,3.127928068,7.00E-05,11.59831581,4.152379024,3.498271653,79.50864649,41.07711767,47.66101845,no_change,
786,WBGene00018662,math-30,F52C6.5,Live,pseudogene,3.278269279,3.104279467,0.132325717,0.682253871,0.692063171,0.699654331,4.112516198,3.734283425,9.748844682,no_change,
282,WBGene00009411,,F35E2.3,Live,pseudogene,35.11425928,3.101834382,4.65E-05,10.23380806,4.152379024,7.696197637,89.10451762,28.00712568,71.49152767,no_change,
854,WBGene00020352,,T08B6.2,Live,pseudogene,22.36274163,3.063936201,0.332825027,14.32733129,0,0,97.32955002,14.9371337,7.582434753,no_change,
1062,WBGene00023393,,Y77E11A.t2,Live,pseudogene,0.539663407,3.059210972,,0,0,0,1.370838733,1.867141712,0,no_change,
50,WBGene00005252,srh-29,ZC404.6,Live,pseudogene,1.115157782,3.035913818,,0,0,0.699654331,2.741677465,0,3.249614894,no_change,
592,WBGene00014852,,W02A11.6,Live,pseudogene,125.3279311,3.024887427,3.81E-08,31.38367806,11.7650739,39.18064252,135.7130345,237.1269975,296.7981603,up,
417,WBGene00012749,,Y41C4A.1,Live,pseudogene,47.98823878,3.015236579,5.36E-06,15.00958516,7.612694878,9.095506299,138.454712,56.01425137,61.74268299,no_change,
199,WBGene00007151,,B0365.2,Live,pseudogene,2.063659617,3.004504929,0.389506597,1.364507742,0,0,0,5.601425137,5.416024823,no_change,
685,WBGene00015550,,C06G3.4,Live,pseudogene,7.173102166,2.988061894,0.098408263,4.093523226,0.692063171,0,21.93341972,13.06999199,3.249614894,no_change,
1299,WBGene00077504,,AC3.13,Live,pseudogene,21.58764268,2.98110198,0.014201027,9.551554193,0.692063171,4.197925984,10.96670986,80.28709363,23.83050922,no_change,
550,WBGene00014764,srz-46,F47H4.3,Live,pseudogene,1.100057947,2.974316949,,0,0,0.699654331,0,3.734283425,2.166409929,no_change,
434,WBGene00013114,,Y51H4A.20,Live,pseudogene,4.128523782,2.97103538,0.208217663,0,0,2.798617323,12.33754859,7.468566849,2.166409929,no_change,
70,WBGene00005378,srh-162,F40D4.4,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
439,WBGene00013283,sre-25,Y57A10C.5,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
727,WBGene00016853,srt-9,C50H11.5,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
1029,WBGene00023337,,T03D3.9,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
1058,WBGene00023388,,Y67D2.t4,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
1074,WBGene00023510,srz-40,Y7A9C.5,Live,pseudogene,0.491724446,2.933775245,,0,0,0,0,1.867141712,1.083204965,no_change,
848,WBGene00020238,,T05B4.4,Live,pseudogene,1.02923635,2.888692705,,0,0.692063171,0,5.48335493,0,0,no_change,
88,WBGene00005485,srh-280,K05D4.7,Live,pseudogene,1.030501544,2.888692612,,0,0,0.699654331,5.48335493,0,0,no_change,
44,WBGene00005130,srd-52,K02A2.4,Live,pseudogene,1.027601467,2.888686684,,0.682253871,0,0,5.48335493,0,0,no_change,
1446,WBGene00249816,,F42G8.18,Live,pseudogene,11.59928692,2.885729562,0.044933208,2.046761613,6.228568536,0,32.90012958,18.67141712,9.748844682,no_change,
697,WBGene00015771,got-1.3,C14E2.2,Live,pseudogene,1.047279835,2.879909457,,0.682253871,0,0,0,5.601425137,0,no_change,
188,WBGene00006255,str-224,K10C9.8,Live,pseudogene,1.95002533,2.875545439,0.357180343,0,0,1.399308661,5.48335493,3.734283425,1.083204965,no_change,
862,WBGene00020614,,T20D4.8,Live,pseudogene,7.565466495,2.868277855,0.140418957,5.458030967,0,0,21.93341972,9.335708562,8.665639717,no_change,
182,WBGene00006227,str-183,T13F3.1,Live,pseudogene,2.816788075,2.867830546,0.299623858,2.046761613,0,0,1.370838733,3.734283425,9.748844682,no_change,
95,WBGene00005556,sri-44,K07E8.12,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
529,WBGene00014727,,DY3.t1,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
617,WBGene00014898,,Y45F3A.6,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
659,WBGene00014969,,Y113G7A.t1,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
1050,WBGene00023375,,Y53G8B.t3,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
1101,WBGene00044103,srbc-47,F54B8.14,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
1342,WBGene00077652,,ZK228.12,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
1351,WBGene00077667,,M162.14,Live,pseudogene,0.456946244,2.858265399,,0,0,0,2.741677465,0,0,no_change,
348,WBGene00011395,,T03E6.2,Live,pseudogene,0.982562582,2.819761693,,0,0,0.699654331,4.112516198,0,1.083204965,no_change,
1210,WBGene00045102,,F52B11.8,Live,pseudogene,6.536848835,2.810184004,0.190911485,0,4.844442195,0,6.854193663,24.27284226,3.249614894,no_change,
10,WBGene00001706,grd-17,Y102A5C.34,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
162,WBGene00005990,srx-99,F19B10.12,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
401,WBGene00012517,srbc-73,Y32B12A.2,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
478,WBGene00013942,,ZK218.8,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
599,WBGene00014863,,Y11D7A.16,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
1021,WBGene00023320,,K07E8.4,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
1038,WBGene00023351,,T27C4.5,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
1111,WBGene00044199,,F57B1.8,Live,pseudogene,0.409007283,2.747835729,,0,0,0,1.370838733,0,1.083204965,no_change,
98,WBGene00005567,sri-55,F22E5.15,Live,pseudogene,4.467088351,2.740736401,0.430168743,0,0,3.498271653,23.30425845,0,0,no_change,
822,WBGene00019529,,K08D10.5,Live,pseudogene,78.23890789,2.710520249,6.52E-08,23.19663161,13.14920024,25.88721023,180.9507127,115.7627862,110.4869064,up,
870,WBGene00020739,,T23F4.1,Live,pseudogene,3.473304085,2.701428862,0.365664256,0,0,2.798617323,13.70838733,0,4.332819859,no_change,
519,WBGene00014701,,C43D7.1,Live,pseudogene,1.702591295,2.679160976,,1.364507742,0,0,0,5.601425137,3.249614894,no_change,
22,WBGene00003665,nhr-75,C49D10.6,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
42,WBGene00005102,srd-24,W06G6.4,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
128,WBGene00005797,srw-50,M01B2.5,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
152,WBGene00005952,srx-61,T20C7.1,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
171,WBGene00006088,str-21,C08F1.2,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
181,WBGene00006223,str-179,F36H5.7,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
236,WBGene00008098,,C44H9.2,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
327,WBGene00010598,,K06B4.3,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
369,WBGene00011716,,T11F9.19,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
527,WBGene00014720,,C54E10.t6,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
897,WBGene00021453,,Y39F10A.2,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1008,WBGene00023301,,F58E2.1,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1044,WBGene00023358,,W10G11.8,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1051,WBGene00023376,,Y53G8B.t4,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1162,WBGene00044739,,F54G8.6,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1242,WBGene00045346,,C06H5.9,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1269,WBGene00050954,,K06B4.14,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1276,WBGene00050973,,Y26G10.3,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1279,WBGene00077434,,F46B3.20,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1301,WBGene00077510,,Y42A5A.6,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1323,WBGene00077590,,R08H2.16,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1349,WBGene00077664,,C43D7.11,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1352,WBGene00077670,,K02E2.9,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1431,WBGene00235307,,B0507.17,Live,pseudogene,0.361068322,2.628817697,,0,0,0,0,0,2.166409929,no_change,
1404,WBGene00206509,,Y102A5C.43,Live,pseudogene,13.27573606,2.621196227,0.106116957,2.729015484,0,8.395851968,46.60851691,18.67141712,3.249614894,no_change,
1413,WBGene00219331,,H25K10.141,Live,pseudogene,1.633034892,2.62108673,,1.364507742,0,0,5.48335493,1.867141712,1.083204965,no_change,
1196,WBGene00045045,,Y45F10B.17,Live,pseudogene,0.884745585,2.617000747,,0,0,0.699654331,2.741677465,1.867141712,0,no_change,
1198,WBGene00045057,,Y106G6G.7,Live,pseudogene,1.59825669,2.592758973,,1.364507742,0,0,8.225032396,0,0,no_change,
1061,WBGene00023392,,Y77E11A.t1,Live,pseudogene,0.838745698,2.57541319,,0,0,0.699654331,0,0,4.332819859,no_change,
979,WBGene00023252,,C39H7.2,Live,pseudogene,8.923621622,2.572278467,0.125871462,0.682253871,0,6.996543307,13.70838733,22.40570055,9.748844682,no_change,
675,WBGene00014996,,ZK1251.5,Live,pseudogene,336.9473006,2.568861713,2.42E-11,120.0766813,65.74600122,105.6478039,382.4640064,694.576717,653.1725937,up,
554,WBGene00014770,,F54F3.2,Live,pseudogene,42.05235723,2.56219858,0.005907164,7.50479258,26.99046366,2.098962992,93.21703382,46.67854281,75.82434753,no_change,
1138,WBGene00044505,,D2024.10,Live,pseudogene,4.027637853,2.560334831,0.221823327,2.046761613,0,1.399308661,5.48335493,13.06999199,2.166409929,no_change,
646,WBGene00014949,,Y75B12A.1,Live,pseudogene,8.022680126,2.560285615,0.167193703,2.046761613,0,4.897580315,23.30425845,16.80427541,1.083204965,no_change,
300,WBGene00009786,,F46F2.1,Live,pseudogene,1.577735324,2.531242378,,0,0,1.399308661,0,3.734283425,4.332819859,no_change,
479,WBGene00013995,mboa-5,ZK550.1,Live,pseudogene,38.71302867,2.528994849,0.006350564,23.87888548,2.076189512,8.395851968,90.47535635,39.20997596,68.24191278,no_change,
112,WBGene00005651,srp-10,F09C6.4,Live,pseudogene,62.58945457,2.511210436,0.000104949,16.3740929,8.304758049,31.48444488,142.5672282,72.81852678,103.9876766,up,
772,WBGene00018225,nep-14,F40B5.1,Live,pseudogene,125.5512758,2.508648479,0.000400012,27.29015484,75.43488561,9.795160629,141.1963895,268.8684066,230.7226575,up,
563,WBGene00014789,,F59C6.10,Live,pseudogene,1.535217894,2.50185931,,1.364507742,0,0,4.112516198,3.734283425,0,no_change,
247,WBGene00008373,,D1054.6,Live,pseudogene,9.90979742,2.494984471,0.071625891,1.364507742,2.768252683,4.897580315,31.52929085,3.734283425,15.16486951,no_change,
1002,WBGene00023286,,F44C4.6,Suppressed,pseudogene,4.518357985,2.493013323,0.41315325,4.093523226,0,0,21.93341972,0,1.083204965,no_change,
1186,WBGene00045012,,K08F4.13,Live,pseudogene,3.044114269,2.489923009,0.43439157,2.729015484,0,0,0,11.20285027,4.332819859,no_change,
635,WBGene00014931,,Y59A8B.t5,Live,pseudogene,1.522057135,2.483381593,,1.364507742,0,0,0,5.601425137,2.166409929,no_change,
1163,WBGene00044752,,Y73B6BL.45,Live,pseudogene,1.505648534,2.481884921,,0,1.384126341,0,5.48335493,0,2.166409929,no_change,
329,WBGene00010753,,K10G4.4,Live,pseudogene,9.094908076,2.478581266,0.13371146,6.822538709,0,1.399308661,13.70838733,26.13998397,6.499229788,no_change,
818,WBGene00019454,,K06H6.6,Live,pseudogene,3.775343018,2.474745214,0.501581427,0,3.460315854,0,19.19174226,0,0,no_change,
763,WBGene00018054,,F35F10.4,Live,pseudogene,52.02801702,2.465892498,0.000400306,13.64507742,8.996821219,25.1875559,139.8255507,74.68566849,49.82742838,up,
526,WBGene00014714,,C54C8.8,Live,pseudogene,2.238468316,2.465550419,0.403456265,2.046761613,0,0,5.48335493,3.734283425,2.166409929,no_change,
838,WBGene00019976,fbxa-195,R09B5.1,Live,pseudogene,20.95182237,2.460241735,0.053827952,7.50479258,0,11.89412362,53.46271057,14.9371337,37.91217376,no_change,
421,WBGene00012876,,Y45F10B.15,Live,pseudogene,21.0313447,2.454425362,0.060092987,6.140284838,0,13.29343228,53.46271057,39.20997596,14.08166454,no_change,
1420,WBGene00219554,,W03D2.11,Live,pseudogene,0.785967585,2.440388448,,0.682253871,0,0,0,1.867141712,2.166409929,no_change,
678,WBGene00015077,,B0238.13,Live,pseudogene,8.205058937,2.427185741,0.162250976,0,0.692063171,6.996543307,12.33754859,20.53855884,8.665639717,no_change,
895,WBGene00021380,,Y37E11B.9,Live,pseudogene,42.63034137,2.426256794,6.19E-06,14.32733129,13.14920024,12.59377795,65.80025917,78.41995192,71.49152767,no_change,
752,WBGene00017729,,F22H10.5,Live,pseudogene,62.96603271,2.420530547,4.74E-06,20.46761613,23.5301478,15.39239527,67.1710979,128.8327782,122.402161,up,
490,WBGene00014562,,Y17D7B.7,Live,pseudogene,455.6223447,2.418787322,1.44E-14,130.3104893,188.2411824,111.9446929,840.3241431,814.0737866,648.8397738,up,
111,WBGene00005650,srp-9,F09C6.5,Live,pseudogene,36.9985376,2.410850464,3.49E-05,12.28056968,11.7650739,11.19446929,58.9460655,54.14710966,73.6579376,no_change,
634,WBGene00014929,,Y59A8B.t2,Live,pseudogene,1.477979252,2.387150771,,0,0,1.399308661,0,7.468566849,0,no_change,
166,WBGene00006014,srx-123,K09H11.2,Live,pseudogene,0.751189383,2.381920946,,0.682253871,0,0,2.741677465,0,1.083204965,no_change,
1302,WBGene00077524,,F36D1.11,Live,pseudogene,0.751189383,2.381920946,,0.682253871,0,0,2.741677465,0,1.083204965,no_change,
135,WBGene00005839,srw-92,F32A7.1,Live,pseudogene,2.129673181,2.358216651,0.523029458,0,0,2.098962992,9.595871128,0,1.083204965,no_change,
874,WBGene00020892,,T28C12.5,Live,pseudogene,72.83291318,2.339887026,0.001051809,34.11269355,13.14920024,24.48790157,54.8335493,225.9241472,84.48998725,up,
720,WBGene00016516,,C38C3.8,Live,pseudogene,211.6663295,2.337333891,9.66E-12,81.87046451,67.82219073,60.17027244,271.4260691,364.0926339,424.6163462,up,
933,WBGene00022229,,Y73B6A.2,Live,pseudogene,79.80193439,2.334320084,2.24E-06,32.7481858,31.83490585,14.69274094,122.0046472,126.9656364,150.5654901,up,
754,WBGene00017739,,F23C8.11,Live,pseudogene,1.394670777,2.329096789,,0,1.384126341,0,0,3.734283425,3.249614894,no_change,
643,WBGene00014946,,Y70G10A.1,Live,pseudogene,2.097617007,2.323100665,0.448041692,0,2.076189512,0,2.741677465,5.601425137,2.166409929,no_change,
996,WBGene00023277,,F29C4.3,Live,pseudogene,0.738989626,2.283654471,,0,0,0.699654331,0,3.734283425,0,no_change,
1451,WBGene00268189,,Y50D4B.9,Live,pseudogene,3.407439904,2.279419291,0.48960062,0,0,3.498271653,15.07922606,1.867141712,0,no_change,
569,WBGene00014805,,K08H10.5,Live,pseudogene,45.59745562,2.272917126,5.28E-05,13.64507742,13.14920024,20.28997559,80.87948522,57.88139308,87.73960214,no_change,
1438,WBGene00235369,,K08D10.18,Live,pseudogene,46.72622668,2.268960379,6.86E-05,15.69183903,15.91745293,16.79170394,94.58787255,48.54568452,88.8228071,no_change,
955,WBGene00023039,,F41B5.11,Live,pseudogene,1.996834435,2.267660554,0.536472501,2.046761613,0,0,0,5.601425137,4.332819859,no_change,
731,WBGene00017035,,D1065.3,Live,pseudogene,193.8105074,2.261984208,2.22E-10,68.90764096,51.21267463,80.46024803,252.2343268,354.7569253,355.2912284,up,
1399,WBGene00206411,,R13D11.11,Live,pseudogene,8.603992848,2.259544251,0.273001783,8.869300322,0,0,5.48335493,24.27284226,12.99845958,no_change,
1253,WBGene00050878,,Y71A12C.3,Live,pseudogene,3.940043181,2.255613383,0.479055352,0.682253871,3.460315854,0,0,0,19.49768936,no_change,
340,WBGene00011160,,R09D1.4,Live,pseudogene,1.985856297,2.247185163,0.536902114,0,0,2.098962992,5.48335493,0,4.332819859,no_change,
703,WBGene00015990,,C18H2.3,Live,pseudogene,148.4595549,2.244859913,3.95E-08,69.58989483,43.59997976,41.97925984,182.3215514,265.1341231,288.1325206,up,
33,WBGene00004903,snf-4,Y46G5A.25,Live,pseudogene,213.3750393,2.237408028,7.37E-09,91.4220187,57.44124317,75.56266771,322.1471022,261.3998397,472.2773646,up,
719,WBGene00016497,vps-32.2,C37C3.3,Live,pseudogene,2.553981133,2.205750525,0.388489473,0.682253871,1.384126341,0.699654331,8.225032396,0,4.332819859,no_change,
1089,WBGene00044041,,F57G9.6,Live,pseudogene,16.77319677,2.197341363,0.015260718,6.140284838,4.152379024,7.696197637,37.01264578,26.13998397,19.49768936,no_change,
4,WBGene00000642,col-66,F15D3.3,Live,pseudogene,24.24377487,2.195209863,0.070464045,17.05634677,8.996821219,0,45.23767818,37.34283425,36.8289688,no_change,
843,WBGene00020081,sdz-29,R52.10,Live,pseudogene,5.70067012,2.171977519,0.329992452,0,6.228568536,0,13.70838733,5.601425137,8.665639717,no_change,
1424,WBGene00235266,,Y77E11A.22,Live,pseudogene,0.655311461,2.169401656,,0.682253871,0,0,0,0,3.249614894,no_change,
30,WBGene00004677,rrn-3.56,F31C3.10,Live,pseudogene,368454.5596,2.130839142,4.90E-06,175053.3805,131935.6149,103947.6439,513714.9609,1007871.893,278203.8639,up,
431,WBGene00013056,,Y50E8A.14,Live,pseudogene,1.231766837,2.126984661,,0,0,1.399308661,2.741677465,0,3.249614894,no_change,
310,WBGene00010112,nhr-191,F55D12.3,Live,pseudogene,1.801526556,2.089945226,,0,2.076189512,0,5.48335493,0,3.249614894,no_change,
739,WBGene00017392,basl-2,F12A10.3,Live,pseudogene,168.8460803,2.079568469,7.06E-06,65.49637161,37.37141122,90.95506299,190.5465838,308.0783825,320.6286695,up,
197,WBGene00007121,,B0250.4,Live,pseudogene,120.2661426,2.07949342,0.000519949,60.72059451,27.68252683,49.67545748,338.597167,134.4342033,110.4869064,up,
482,WBGene00014180,,ZK1010.6,Live,pseudogene,5.950091142,2.077761563,0.311840208,4.775777096,0.692063171,1.399308661,0,9.335708562,19.49768936,no_change,
391,WBGene00012384,,Y5F2A.3,Live,pseudogene,9.621100609,2.073578071,0.174570012,2.046761613,0.692063171,8.395851968,30.15845212,5.601425137,10.83204965,no_change,
480,WBGene00014005,,ZK593.9,Live,pseudogene,90.46079592,2.058154667,7.48E-05,25.24339322,27.68252683,52.4740748,123.3754859,115.7627862,198.2265085,up,
1072,WBGene00023482,,C05B5.9,Live,pseudogene,10.69031621,2.056913155,0.336864792,0,11.07301073,1.399308661,39.75432325,0,11.91525461,no_change,
820,WBGene00019517,,K08B4.5,Live,pseudogene,81.69910137,2.051185739,3.25E-06,33.43043968,34.60315854,27.2865189,167.2423254,113.8956445,113.7365213,up,
338,WBGene00011022,,R05A10.5,Live,pseudogene,6.539903773,2.047010847,0.278201293,0,6.920631707,0.699654331,10.96670986,13.06999199,7.582434753,no_change,
1202,WBGene00045066,,Y41E3.21,Live,pseudogene,4.644476488,2.040044645,0.397404197,4.093523226,0,1.399308661,13.70838733,0,8.665639717,no_change,
959,WBGene00023223,,ZK1236.8,Live,pseudogene,10.58849464,2.024421193,0.141241842,5.458030967,3.460315854,3.498271653,24.67509719,24.27284226,2.166409929,no_change,
1258,WBGene00050912,,F43E2.12,Live,pseudogene,28.14301423,2.024167933,0.015008177,4.093523226,10.38094756,18.89066693,56.20438804,39.20997596,40.07858369,no_change,
759,WBGene00017878,,F28A10.10,Live,pseudogene,5.896096263,2.017695079,0.223803424,2.729015484,3.460315854,0.699654331,5.48335493,18.67141712,4.332819859,no_change,
48,WBGene00005235,srh-9,T11F9.17,Live,pseudogene,1.130088761,2.015622542,,1.364507742,0,0,0,0,5.416024823,no_change,
1067,WBGene00023399,,ZC239.1,Live,pseudogene,1.141310445,2.009134779,,1.364507742,0,0,5.48335493,0,0,no_change,
564,WBGene00014790,,H03G16.3,Live,pseudogene,9.163836388,2.002901486,0.200488227,7.50479258,0,3.498271653,20.56258099,9.335708562,14.08166454,no_change,
1282,WBGene00077438,,C18D4.10,Live,pseudogene,2.936111281,1.995380658,0.505601963,1.364507742,0,2.098962992,0,13.06999199,1.083204965,no_change,
240,WBGene00008282,,C53D6.5,Live,pseudogene,21.6783453,1.991990896,0.026484611,6.140284838,7.612694878,12.59377795,41.12516198,14.9371337,47.66101845,no_change,
587,WBGene00014842,clec-30,T20B3.11,Live,pseudogene,4.006186865,1.990154052,0.527468553,2.046761613,0,2.798617323,19.19174226,0,0,no_change,
1064,WBGene00023396,,Y94H6A.t1,Live,pseudogene,3.946647598,1.987790694,0.54100233,4.775777096,0,0,17.82090352,0,1.083204965,no_change,
35,WBGene00005041,sra-15,AH6.16,Live,pseudogene,0.311190285,1.984780908,,0,0,0,0,1.867141712,0,no_change,
36,WBGene00005045,sra-19,F28C12.3,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
38,WBGene00005075,srb-10,F23F12.11,Live,pseudogene,0.228473122,1.984780908,,0,0,0,1.370838733,0,0,no_change,
39,WBGene00005084,srd-6,B0547.5,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
43,WBGene00005115,srd-37,R04D3.11,Live,pseudogene,0.311190285,1.984780908,,0,0,0,0,1.867141712,0,no_change,
52,WBGene00005277,srh-54,T09F5.6,Live,pseudogene,0.228473122,1.984780908,,0,0,0,1.370838733,0,0,no_change,
74,WBGene00005409,srh-198,ZK262.13,Live,pseudogene,0.311190285,1.984780908,,0,0,0,0,1.867141712,0,no_change,
81,WBGene00005455,srh-249,C31B8.14,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
91,WBGene00005520,sri-8,ZK666.10,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
97,WBGene00005564,sri-52,F22E5.5,Live,pseudogene,0.228473122,1.984780908,,0,0,0,1.370838733,0,0,no_change,
115,WBGene00005677,sru-14,T02D1.2,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
118,WBGene00005706,sru-43,F23B12.2,Live,pseudogene,0.311190285,1.984780908,,0,0,0,0,1.867141712,0,no_change,
134,WBGene00005828,srw-81,Y51A2B.7,Live,pseudogene,0.228473122,1.984780908,,0,0,0,1.370838733,0,0,no_change,
149,WBGene00005928,srx-37,T01C4.7,Live,pseudogene,0.228473122,1.984780908,,0,0,0,1.370838733,0,0,no_change,
158,WBGene00005974,srx-83,F43A11.7,Live,pseudogene,0.311190285,1.984780908,,0,0,0,0,1.867141712,0,no_change,
186,WBGene00006248,str-216,K02H11.5,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
208,WBGene00007373,,C06B8.11,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
213,WBGene00007468,,C08H9.8,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
218,WBGene00007676,srz-57,C18D4.7,Live,pseudogene,0.180534161,1.984780908,,0,0,0,0,0,1.083204965,no_change,
